"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
205,Allan Hart Jahsmann & Martin  P. Simon,,p,,2007-11-29,2007-11-29
206,Walter  A. Henrichsen,,p,,2007-11-29,2007-11-29
207,"Steve Barker, Judy Johnson, Jimmy Long, Rob Malone",,p,,2007-11-29,2007-11-29
208,Herodion P. Gunawan,,p,,2007-11-29,2007-11-29
209,Don Fields,,p,,2007-11-29,2007-11-29
210,Ny. M. Th Sijabat & Dr. L Humes,,p,,2007-11-29,2007-11-29
211,Donna Mckee Rhodes,,p,,2007-11-29,2007-11-29
212,Thomas T.Suharsono,,p,,2007-11-29,2007-11-29
213,Mavis L.Anderson,,p,,2007-11-29,2007-11-29
214,Rachel Iversen,,p,,2007-11-29,2007-11-29
215,Tim pelayanan efata,,p,,2007-11-29,2007-11-29
216,Puaulus lie,,p,,2007-11-29,2007-11-29
217,Doris Blattner,,p,,2007-11-29,2007-11-29
218,Dell & Rachel Schultz,,p,,2007-11-29,2007-11-29
219,Department Sekolah Minggu Gandu Mas,,p,,2007-11-29,2007-11-29
220,Sheri Han,,p,,2007-11-29,2007-11-29
221,Tom slater,,p,,2007-11-29,2007-11-29
222,anne de vries,,p,,2007-11-29,2007-11-29
223,billy graham dkk,,p,,2007-11-29,2007-11-29
224,Millard J. Erikson,,p,,2007-11-29,2007-11-29
225,Charles C. Ryrie,,p,,2007-11-29,2007-11-29
226,Walter C. Kaiser,,p,,2007-11-29,2007-11-29
227,Leon Morris,,p,,2007-11-29,2007-11-29
228,George Eldon Ladd,,p,,2007-11-29,2007-11-29
229,Donald Guthrie,,p,,2007-11-29,2007-11-29
230,Yakub S. Susabda,,p,,2007-11-29,2007-11-29
231,Stanton L. & Brenna B. Jones,,p,,2007-11-29,2007-11-29
232,J.Mack Stiles,,p,,2007-11-29,2007-11-29
233,Eddie Long,,p,,2007-11-29,2007-11-29
234,Ronald W. Leigh,,p,,2007-11-29,2007-11-29
235,Harn Hadiwijono,,p,,2007-11-29,2007-11-29
236,R.C.Sproul,,p,,2007-11-29,2007-11-29
237,Lotnatigor Sihombing,,p,,2007-11-29,2007-11-29
238,Louis Berkhof,,p,,2007-11-29,2007-11-29
239,Richard L. Pratt,,p,,2007-11-29,2007-11-29
240,G.I. Williamson,,p,,2007-11-29,2007-11-29
241,J.I. Packer,,p,,2007-11-29,2007-11-29
242,W. Stanley Health,,p,,2007-11-29,2007-11-29
243,J.Knox Chamblin,,p,,2007-11-29,2007-11-29
244,Peter Scazzero,,p,,2007-11-29,2007-11-29
245,Edgar Walz,,p,,2007-11-29,2007-11-29
246,Anton Wessels,,p,,2007-11-29,2007-11-29
247,Larry Stockstill,,p,,2007-11-29,2007-11-29
248,Pdt. Dr. Jan S. Aritonang,,p,,2007-11-29,2007-11-29
249,Dr. Th. Van den End,,p,,2007-11-29,2007-11-29
250,"Dr. H. Berkhof, Dr.I.H.Enklaar",,p,,2007-11-29,2007-11-29
251,Ted Hagard,,p,,2007-11-29,2007-11-29
252,Pdt. M.S. Anwari,,p,,2007-11-29,2007-11-29
253,Jusuf Roni,,p,,2007-11-29,2007-11-29
254,Martin B. Dainton,,p,,2007-11-29,2007-11-29
255,Pdt. Dr. Maitimoe,,p,,2007-11-29,2007-11-29
256,Jesse Miranda,,p,,2007-11-29,2007-11-29
257,Dr. F.D. Wellem,,p,,2007-11-29,2007-11-29
258,D.A. Carson,,p,,2007-11-29,2007-11-29
259,Rick Warren,,p,,2007-11-29,2007-11-29
260,Alister E.McGrath,,p,,2007-11-29,2007-11-29
261,Hugh F. Halverstadt,,p,,2007-11-29,2007-11-29
262,"Christian A. Schwarz, Christoph Schalk",,p,,2007-11-29,2007-11-29
263,Tim redaksi Buku HUT GKBJ,,p,,2007-11-29,2007-11-29
264,Howard P. Colson and Raymond M. Rigdon,,p,,2007-11-29,2007-11-29
265,Gary L. McIntosh,,p,,2007-11-29,2007-11-29
266,Timotius Adi Tan,,p,,2007-11-29,2007-11-29
267,"J. Allan Petersen,Elven, Joyce Smith",,p,,2007-11-29,2007-11-29
268,"Milton Chen , Ph.D.",,p,,2007-11-29,2007-11-29
269,M . Shalan Syafei,,p,,2007-11-29,2007-11-29
270,Richard L. Morgan,,p,,2007-11-29,2007-11-29
271,Woodrow Kroll Don Hawkins,,p,,2007-11-29,2007-11-29
272,Audrey Ricker dan Carolyn Crowder,,p,,2007-11-29,2007-11-29
273,T.D. Jakes,,p,,2007-11-29,2007-11-29
274,Jay E. Adams,,p,,2007-11-29,2007-11-29
275,Teha Sugiyo,,p,,2007-11-29,2007-11-29
276,Billy Graham,,p,,2007-11-29,2007-11-29
277,H.Norman Wright,,p,,2007-11-29,2007-11-29
278,Wilson Nadeak,,p,,2007-11-29,2007-11-29
279,Chong Kwong Tek dan Chua Wee Hian,,p,,2007-11-29,2007-11-29
280,Rosemary Wells,,p,,2007-11-29,2007-11-29
281,Les Parrott & Leslie Parrots,,p,,2007-11-29,2007-11-29
282,Larry Christenson,,p,,2007-11-29,2007-11-29
283,Larry Keefauver,,p,,2007-11-29,2007-11-29
284,Jean Fleming,,p,,2007-11-29,2007-11-29
285,Donna Otto,,p,,2007-11-29,2007-11-29
286,Jacob Nahuway,,p,,2007-11-29,2007-11-29
287,T.D.Jakes,,p,,2007-11-29,2007-11-29
288,Tim Lahaye,,p,,2007-11-29,2007-11-29
289,Eugenia Price,,p,,2007-11-29,2007-11-29
290,Andar Ismail,,p,,2007-11-29,2007-11-29
291,Cecil G. Osborne,,p,,2007-11-29,2007-11-29
292,Pam Farrel,,p,,2007-11-29,2007-11-29
293,Jim Conway,,p,,2007-11-29,2007-11-29
294,James C. Dobson,,p,,2007-11-29,2007-11-29
295,Thomas W. Mcknight & Robert H. Philips,,p,,2007-11-29,2007-11-29
296,Billy Joe Daugherty,,p,,2007-11-29,2007-11-29
297,Jack Canfield & Mark Victor Hansen,,p,,2007-11-29,2007-11-29
298,Myles Munroe,,p,,2007-11-29,2007-11-29
299,James Dobson,,p,,2007-11-29,2007-11-29
300,Starr Meade,,p,,2007-11-29,2007-11-29
301,Frank Damazio and rich Brott,,p,,2007-11-29,2007-11-29
302,John Trent,,p,,2007-11-29,2007-11-29
303,Janette Oke,,p,,2007-11-29,2007-11-29
304,Jerry B. Jenkins,,p,,2007-11-29,2007-11-29
305,Patricia St John,,p,,2007-11-29,2007-11-29
306,Tony Evans,,p,,2007-11-29,2007-11-29
307,O. Hallesby,,p,,2007-11-29,2007-11-29
308,Stormie Omartian,,p,,2007-11-29,2007-11-29
309,Hope MacDonald,,p,,2007-11-29,2007-11-29
310,Kay Arthur,,p,,2007-11-29,2007-11-29
311,G.R Harding Wood,,p,,2007-11-29,2007-11-29
312,John Bisagno,,p,,2007-11-29,2007-11-29
313,Francis Frangipane,,p,,2007-11-29,2007-11-29
314,E.M. Bounds,,p,,2007-11-29,2007-11-29
315,Larry Lea,,p,,2007-11-29,2007-11-29
316,Rosalind Rinker,,p,,2007-11-29,2007-11-29
317,Rick Osborne,,p,,2007-11-29,2007-11-29
318,Quin Sherrer,,p,,2007-11-29,2007-11-29
319,K.A.M. jusuf Roni,,p,,2007-11-29,2007-11-29
320,Ria Zebua,,p,,2007-11-29,2007-11-29
321,"Clyde M. Narramore,ED.D",,p,,2007-11-29,2007-11-29
322,Leroy Eims,,p,,2007-11-29,2007-11-29
323,Gottfried OSEI-MENSAH,,p,,2007-11-29,2007-11-29
324,Dr. Yakob Tomatala,,p,,2007-11-29,2007-11-29
325,Robert L. Brandt,,p,,2007-11-29,2007-11-29
326,Larry Burkett,,p,,2007-11-29,2007-11-29
327,Ted. W. Engstrom,,p,,2007-11-29,2007-11-29
328,Pdt.Dr.S.M.Siahaan,,p,,2007-11-29,2007-11-29
329,"Pdt. Dra.Ny.P.Tuhumury,M.Div",,p,,2007-11-29,2007-11-29
330,Charles R. Swindoll,,p,,2007-11-29,2007-11-29
331,Ronnie Belanger & Brian Mast,,p,,2007-11-29,2007-11-29
332,John. C. Bowling,,p,,2007-11-29,2007-11-29
333,"John C. Maxwell, Jim Dornan",,p,,2007-11-29,2007-11-29
334,Mike & Viv Hibbert,,p,,2007-11-29,2007-11-29
335,Paul David Tripp,,p,,2007-11-29,2007-11-29
336,"Alison Siewert, dkk",,p,,2007-11-29,2007-11-29
337,Dale E. Galloway,,p,,2007-11-29,2007-11-29
338,Eka DarmaPutera,,p,,2007-11-29,2007-11-29
339,Drs. Les & Leslie Parrott,,p,,2007-11-29,2007-11-29
